00:17:50.828 [main] INFO  biblio.service.impl.BibliothequeImpl - getAdherentRepository appelé avec en paramètres : []
00:17:50.844 [main] INFO  biblio.service.impl.BibliothequeImpl - ajouterAdherent appelé avec en paramètres : [nom=Durant prenom=Pascal tel=0240563412 email=pascal.durant@free.fr]
00:17:51.105 [main] INFO  biblio.service.impl.BibliothequeImpl - getAdherentRepository appelé avec en paramètres : []
00:17:51.125 [main] INFO  biblio.service.impl.BibliothequeImpl - getAdherentRepository appelé avec en paramètres : []
00:17:51.131 [main] INFO  biblio.service.impl.BibliothequeImpl - modifierAdherent appelé avec en paramètres : [nom=Dupont prenom=Pascal tel=0240563412 email=pascal.durant@free.fr]
00:17:51.149 [main] INFO  biblio.service.impl.BibliothequeImpl - getAdherentRepository appelé avec en paramètres : []
00:17:51.157 [main] INFO  biblio.service.impl.BibliothequeImpl - getAdherentRepository appelé avec en paramètres : []
00:17:51.160 [main] INFO  biblio.service.impl.BibliothequeImpl - ajouterAdherent appelé avec en paramètres : [nom=Durant prenom=Pascal tel=0240563412 email=pascal.durant@free.fr]
00:17:51.169 [main] INFO  biblio.service.impl.BibliothequeImpl - getAdherentRepository appelé avec en paramètres : []
00:17:51.172 [main] INFO  biblio.service.impl.BibliothequeImpl - ajouterAdherent appelé avec en paramètres : [nom=Durant prenom=Pascal tel=0240563412 email=pascal.durant@free.fr]
00:17:51.178 [main] INFO  biblio.service.impl.BibliothequeImpl - getAdherentRepository appelé avec en paramètres : []
00:17:51.286 [main] INFO  biblio.service.impl.BibliothequeImpl - getAdherentRepository appelé avec en paramètres : []
00:17:51.298 [main] INFO  biblio.service.impl.BibliothequeImpl - getAdherentRepository appelé avec en paramètres : []
00:17:51.300 [main] INFO  biblio.service.impl.BibliothequeImpl - ajouterAdherent appelé avec en paramètres : [nom=Durant prenom=Pascal tel=0240563412 email=pascal.durant@free.fr]
00:17:51.317 [main] INFO  biblio.service.impl.BibliothequeImpl - ajouterAdherent appelé avec en paramètres : [nom=Durant prenom=Pascal tel=0240563412 email=pascal.durant@free.fr]
